id,name,room_type,bed_type,bed,bedrooms,bathrooms,host_id,host_name,street,country,latitude,longitude,price,number_of_reviews,minimum_nights,availability_365
26120851,Big comfortable room in BCN city center,Private room,Real Bed,,1,1.0,196345599,Nora,"Barcelona, Catalunya, Spain",Spain,41.38395,2.16621,49.00,15,3,124
2612849,B:2BR for 6ppl 3mins to MongKok MTR,Entire home/apt,Real Bed,,2,1.0,12404807,Melody InHK,"Hong Kong, Kowloon, Hong Kong",Hong Kong,22.31863,114.16932,754.00,196,1,308
26134555,Litlle room in a beautiful loft,Private room,Real Bed,,1,1.0,6550121,Stéphane,"Montréal, Québec, Canada",Canada,45.54112,-73.60055,35.00,2,5,89
26143851,★Charming apartment near the beach★private terrace,Entire home/apt,Real Bed,,1,1.0,3849926,Ariana,"Porto, Porto, Portugal",Portugal,41.15087,-8.67211,89.00,3,2,347
26146479,Charming studio with balcony in the middle of Soho,Entire home/apt,Real Bed,,0,1.0,16323539,Sarah,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,22.28533,114.15335,997.00,11,2,4
26150475,香港高鐵站全新裝修豪華持牌賓館3人房606,Private room,Real Bed,,1,1.0,15210533,燕,"Hong Kong, Kowloon, Hong Kong",Hong Kong,22.30618,114.16683,455.00,10,1,0
26151425,UTOPIA- Amiable Double Room for Happy Travellers !,Private room,Real Bed,,1,2.0,13237730,Luis,"Vila Nova de Gaia, Porto, Portugal",Portugal,41.12771,-8.60854,28.00,8,1,0
26158096,Beşiktaşta Özel Oda,Private room,Real Bed,,1,1.0,196610873,Nurseli,"Beşiktaş, İstanbul, Turkey",Turkey,41.04606,29.01307,121.00,0,30,365
26164547,petite chambre sur le playeau mont royal,Private room,Real Bed,,1,1.0,145169614,Eric,"Montréal, Québec, Canada",Canada,45.52293,-73.57857,31.00,1,1,356
26170427,L Honoapiilani Condo #120993 *NO GUEST SERVICE FEE*,Entire home/apt,Real Bed,,1,1.0,195873583,Red Awning,"Lahaina, HI, United States",United States,20.95666,-156.68587,310.00,0,5,320
26178812,North Point ...Room for 2 --- with lift  (2a),Private room,Real Bed,,0,1.0,97240131,Jov,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,22.29032,114.19977,228.00,0,29,162
26185187,Chambre lumineuse dans Villeray,Private room,Real Bed,,1,1.0,128573881,Agnes,"Montréal, Québec, Canada",Canada,45.53873,-73.62657,32.00,2,2,89
26197507,NEW-Kamuela Luxury Resort Townhome on Kohala Coast,Entire home/apt,Real Bed,,2,2.0,151398424,Evolve,"Kamuela, HI, United States",United States,19.94653,-155.85622,400.00,0,4,303
26199936,Leme - 2 quartos  - portaria 24 horas,Entire home/apt,Real Bed,,2,2.0,195046037,Paula,"Leme, Rio de Janeiro, Brazil",Brazil,-22.961917625695435,-43.16990793229011,280.00,5,1,0
26204249,Waikiki Banyan Tower 2 Suite 3704 *No guest service fee*,Entire home/apt,Real Bed,,1,1.0,196635279,Red Awning,"Waikiki, HI, United States",United States,21.27413,-157.822,307.00,0,5,212
26209883,Devesas Apartment,Entire home/apt,Real Bed,,2,2.0,196983815,Guilherme,"Vila Nova de Gaia, Porto, Portugal",Portugal,41.12777,-8.62179,85.00,19,2,357
26210993,Ótimo quarto p 1-2 moças.Próx UERJ/Maracanã/Centro,Private room,Real Bed,,1,1.0,196747935,Fatima,"Grajau, Rio de Janeiro, Brazil",Brazil,-22.913544431538625,-43.2718506152968,41.00,0,5,163
26231187,Nice and quiet room in the Plateau,Private room,Real Bed,,1,1.0,196904550,Luna,"Montréal, Québec, Canada",Canada,45.52984,-73.59447,36.00,32,2,62
26232410,Oporto Royal Apartment,Entire home/apt,Real Bed,,1,1.0,10135465,Andre,"Porto, Porto, Portugal",Portugal,41.14567,-8.59848,120.00,9,1,353
26242605,Gignas Studio Apartment,Entire home/apt,Real Bed,,0,1.0,21873399,Sol,"Barcelona, Catalunya, Spain",Spain,41.38164,2.17855,41.00,0,32,184
26244400,Cozy home!,Private room,Real Bed,,1,1.0,113419095,Laura,"Leichhardt, NSW, Australia",Australia,-33.8802,151.14769,37.00,1,1,0
26257930,"Wailea Ekahi Village 28F- 1 Bedroom, Ocean View!!",Entire home/apt,Real Bed,,1,2.0,173239198,Maui A Place A Part,"Kihei, HI, United States",United States,20.69808,-156.44098,305.00,2,4,186
26259025,"酒店式公寓,厅床出租,尊享免费泳池､健身房,仅限女性!Bunk Bed,“NO BOYS”!",Shared room,Real Bed,,1,1.0,131187325,Kay,"Hong Kong, Kowloon, Hong Kong",Hong Kong,22.30099,114.18672,283.00,47,1,347
26263467,RAMBLAS 1,Entire home/apt,Real Bed,,1,1.0,36780006,Juan Carlos,"Barcelona, Catalunya, Spain",Spain,41.38394,2.1663,100.00,3,2,281
26263470,Sora Home-3  Qeen bed,Private room,Real Bed,,1,1.5,195465513,Myungsuk,"Waikele, HI, United States",United States,21.40908,-158.01012,59.00,11,2,160
26270602,HKU  STUDIO for  2.....(4c),Entire home/apt,Real Bed,,0,1.0,97240131,Jov,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,22.28754,114.13231,267.00,0,29,364
26273293,nice single room near unsw kingsford,Private room,Real Bed,,0,1.0,160391756,Chandler,"Kingsford, NSW, Australia",Australia,-33.92315,151.23078,70.00,0,1,0
26287233,Moradia Igreja de Paranhos - 2,Private room,Real Bed,,1,1.0,172398001,José,"Porto, Porto, Portugal",Portugal,41.17057,-8.60646,14.00,3,6,230
2629234,Beautiful 1/1/1 in Waikiki!,Entire home/apt,Real Bed,,1,1.0,13468379,Ratana,"Honolulu, HI, United States",United States,21.27592,-157.8205,142.00,4,90,0
26308209,The Back Corner,Entire home/apt,Real Bed,,0,1.0,197828925,Gail,"Malabar, NSW, Australia",Australia,-33.96664,151.24884,70.00,14,2,68
26313671,"Cosy and bright double room. El Born, Barcelona.",Private room,Real Bed,,1,1.0,15596380,Pedro,"Barcelona, Catalunya, Spain",Spain,41.38763,2.1818,35.00,15,1,0
26313903,Smart Studio next to El Born,Entire home/apt,Real Bed,,0,1.0,72984879,Ellie,"Barcelona, Catalunya, Spain",Spain,41.38406,2.17585,40.00,0,60,272
26315238,Oceanfront Sun Suite - Beachfront Oasis  ✔Wifi ✔AC,Entire home/apt,Real Bed,,1,1.0,197888507,Tatiana,"Waianae, HI, United States",United States,21.41425,-158.17655,139.00,43,1,182
263190,Room in East Village with Private Entrance,Private room,Real Bed,,1,1.0,1020539,Dominique,"New York, NY, United States",United States,40.72534,-73.98591,88.00,69,2,0
26319639,Las Ramblas Penthouse Apartment,Entire home/apt,Real Bed,,2,1.0,21873399,Sol,"Barcelona, Catalunya, Spain",Spain,41.38123,2.17557,130.00,2,3,2
26320917,Maison de ville moderne proche jardin Botanique,Entire home/apt,Real Bed,,3,1.5,197929511,Florence,"Montréal, Québec, Canada",Canada,45.56223,-73.5769,160.00,2,2,0
26323083,Your Opo Vintage Apartments 2F,Entire home/apt,Real Bed,,1,1.0,16922131,YourOpo,"Porto, Grande Porto, Portugal",Portugal,41.1545,-8.60438,49.00,0,1,344
26334724,Stylish 2 BDR Apartment -Close to Redfern Station,Entire home/apt,Real Bed,,2,2.0,192002147,Franca & Alessio,"Alexandria, NSW, Australia",Australia,-33.89472,151.19829,181.00,26,1,7
26340840,Renovated Federalist House with a Private Garden and Hot Tub,Entire home/apt,Real Bed,,5,2.0,192002147,Franca & Alessio,"Drummoyne, NSW, Australia",Australia,-33.8464,151.15249,299.00,20,2,91
26342079,全新裝旺角朗豪坊對面2分鐘地鐵可住5人New Reno Apt 2 min Mongkok MTR,Entire home/apt,Real Bed,,2,1.0,85800321,Lexter,"Hong Kong, Kowloon, Hong Kong",Hong Kong,22.31996,114.16791,903.00,44,2,53
26342532,Room in Osmanbey,Private room,Real Bed,,1,1.0,45455859,Mustafa,"Şişli, İstanbul, Turkey",Turkey,41.0512,28.98504,90.00,5,2,177
26344088,香港西貢海景游泳池大房子#Saikung#Hiking#Beach#Relaxing#20%OFF,Private room,Real Bed,,1,1.0,67839172,Fairy,"Hong Kong, New Territories, Hong Kong",Hong Kong,22.39018,114.26052,675.00,24,2,86
26348233,On The Ramblas 4 Studio Apartment,Entire home/apt,Real Bed,,1,1.0,21873399,Sol,"Barcelona, Catalunya, Spain",Spain,41.37998,2.17552,80.00,3,3,0
2634829,Private House Mindelo,Entire home/apt,Real Bed,,3,2.0,10988558,Fernando,"Mindelo, Porto District, Portugal",Portugal,41.30549,-8.73177,195.00,4,2,317
26358814,Taksim !! Good location!! Venüs hotel,Shared room,Real Bed,,1,1.0,90638018,Eda,"Beyoğlu, İstanbul, Turkey",Turkey,41.03905,28.98354,248.00,0,1,179
26361065,Marriott’s Waikoloa Ocean Club,Private room,Real Bed,,1,1.0,16222167,Sho,"Honolulu, HI, United States",United States,21.27348,-157.8231,300.00,0,3,365
26365192,The Pineapple Surf Shack,Entire home/apt,Real Bed,,1,1.0,55591302,Naomi,"Waianae, HI, United States",United States,21.46995,-158.21734,130.00,29,1,185
